iter	Passed	Remaining
0	0	22
1	0	22
2	0	20
3	0	19
4	0	18
5	1	18
6	1	18
7	1	18
8	1	19
9	2	18
10	2	18
11	2	18
12	2	18
13	2	17
14	3	17
15	3	17
16	3	17
17	3	16
18	3	16
19	4	16
20	4	16
21	4	15
22	4	15
23	4	15
24	5	15
25	5	14
26	5	14
27	5	14
28	5	14
29	6	14
30	6	14
31	7	15
32	7	14
33	7	14
34	7	14
35	8	14
36	8	14
37	8	14
38	8	13
39	9	13
40	9	13
41	9	13
42	9	12
43	9	12
44	10	12
45	10	12
46	10	11
47	10	11
48	10	11
49	11	11
50	11	10
51	11	10
52	11	10
53	11	10
54	11	9
55	12	9
56	12	9
57	12	9
58	12	8
59	13	8
60	13	8
61	13	8
62	13	7
63	13	7
64	14	7
65	14	7
66	14	7
67	14	6
68	14	6
69	15	6
70	15	6
71	15	6
72	15	5
73	16	5
74	16	5
75	16	5
76	16	4
77	16	4
78	16	4
79	17	4
80	17	4
81	17	3
82	17	3
83	17	3
84	18	3
85	18	2
86	18	2
87	18	2
88	19	2
89	19	2
90	19	1
91	19	1
92	19	1
93	20	1
94	20	1
95	20	0
96	20	0
97	20	0
98	21	0
99	21	0
