iter	Passed	Remaining
0	59	59222
1	59	29692
2	59	19863
3	60	14940
4	60	11980
5	60	10008
6	60	8601
7	60	7542
8	60	6716
9	61	6057
10	61	5516
11	61	5069
12	61	4689
13	61	4363
14	62	4080
15	62	3833
16	62	3615
17	62	3421
18	62	3248
19	63	3093
20	63	2951
21	63	2823
22	63	2707
23	63	2600
24	64	2501
25	64	2410
26	64	2326
27	64	2248
28	65	2177
29	65	2110
30	65	2047
31	65	1986
32	65	1931
33	66	1878
34	66	1827
35	66	1779
36	66	1734
37	66	1693
38	67	1652
39	67	1614
40	67	1577
41	67	1542
42	67	1509
43	68	1477
44	68	1447
45	68	1417
46	68	1390
47	68	1363
48	68	1339
49	69	1314
50	69	1290
51	69	1267
52	69	1245
53	69	1224
54	70	1204
55	70	1185
56	70	1166
57	70	1148
58	70	1130
59	71	1113
60	71	1097
61	71	1081
62	71	1066
63	71	1051
64	72	1038
65	72	1024
66	72	1010
67	72	997
68	72	984
69	73	972
70	73	959
71	73	948
72	73	936
73	74	926
74	74	915
75	74	904
76	74	893
77	74	883
78	74	873
79	75	863
80	75	853
81	75	844
82	75	834
83	75	825
84	75	817
85	76	808
86	76	800
87	76	792
88	76	784
89	76	777
90	77	769
91	77	762
92	77	755
93	77	748
94	77	741
95	77	734
96	78	727
97	78	720
98	78	714
99	78	708
100	78	702
101	79	696
102	79	690
103	79	684
104	79	678
105	79	672
106	79	667
107	80	662
108	80	657
109	80	652
110	80	648
111	81	643
112	81	638
113	81	633
114	81	628
115	81	623
116	81	618
117	82	614
118	82	609
119	82	605
120	82	600
121	82	596
122	83	591
123	83	587
124	83	583
125	83	580
126	83	576
127	84	572
128	84	568
129	84	564
130	84	561
131	84	557
132	84	554
133	85	550
134	85	547
135	85	543
136	85	540
137	85	537
138	86	533
139	86	530
140	86	527
141	86	523
142	86	520
143	86	516
144	87	513
145	87	510
146	87	508
147	87	505
148	87	502
149	88	499
150	88	496
151	88	493
152	88	490
153	88	488
154	89	485
155	89	482
156	89	480
157	89	477
158	89	474
159	89	472
160	90	469
161	90	466
162	90	464
163	90	462
164	90	459
165	91	457
166	91	455
167	91	452
168	91	450
169	91	447
170	91	445
171	92	443
172	92	441
173	92	439
174	92	437
175	92	434
176	93	432
177	93	430
178	93	428
179	93	426
180	93	424
181	94	422
182	94	420
183	94	418
184	94	416
185	94	414
186	94	412
187	95	411
188	95	409
189	95	407
190	95	405
191	96	404
192	96	402
193	96	400
194	96	398
195	96	396
196	96	395
197	97	393
198	97	391
199	97	390
200	97	388
201	97	386
202	98	385
203	98	383
204	98	382
205	98	380
206	98	378
207	99	377
208	99	375
209	99	373
210	99	372
211	99	370
212	99	369
213	100	368
214	100	366
215	100	365
216	100	363
217	100	362
218	101	360
219	101	359
220	101	357
221	101	356
222	101	355
223	102	353
224	102	352
225	102	351
226	102	349
227	102	348
228	103	347
229	103	345
230	103	344
231	103	343
232	103	341
233	104	340
234	104	339
235	104	337
236	104	336
237	104	335
238	104	333
239	105	332
240	105	331
241	105	330
242	105	329
243	105	327
244	106	326
245	106	325
246	106	324
247	106	323
248	106	321
249	106	320
250	107	319
251	107	318
252	107	317
253	107	316
254	107	314
255	107	313
256	108	312
257	108	311
258	108	310
259	108	309
260	108	308
261	109	307
262	109	306
263	109	305
264	109	303
265	109	302
266	109	301
267	110	300
268	110	299
269	110	298
270	110	297
271	110	296
272	111	295
273	111	294
274	111	293
275	111	292
276	111	291
277	112	291
278	112	290
279	112	289
280	112	288
281	112	287
282	112	286
283	113	285
284	113	284
285	113	283
286	113	282
287	113	281
288	114	280
289	114	280
290	114	279
291	114	278
292	114	277
293	115	276
294	115	275
295	115	274
296	115	273
297	115	272
298	116	272
299	116	271
300	116	270
301	116	269
302	116	268
303	116	267
304	117	266
305	117	266
306	117	265
